experiment,detector,point_index,point,sweep_value,method,max_balanced_fidelity
contrast,det_nonpar_dt50ns_ap0.01_tau100ns,0,contrast0.5,0.5,threshold,0.7684027777777778
contrast,det_nonpar_dt50ns_ap0.01_tau100ns,0,contrast0.5,0.5,adaptive_count,0.7679166666666667
contrast,det_nonpar_dt50ns_ap0.01_tau100ns,0,contrast0.5,0.5,fixed_count_mmpp,0.788125
contrast,det_nonpar_dt50ns_ap0.01_tau100ns,0,contrast0.5,0.5,adaptive_mmpp,0.7873611111111112
contrast,det_nonpar_dt50ns_ap0.01_tau100ns,1,contrast0.7,0.7,threshold,0.8269444444444445
contrast,det_nonpar_dt50ns_ap0.01_tau100ns,1,contrast0.7,0.7,adaptive_count,0.8235416666666666
contrast,det_nonpar_dt50ns_ap0.01_tau100ns,1,contrast0.7,0.7,fixed_count_mmpp,0.8402083333333333
contrast,det_nonpar_dt50ns_ap0.01_tau100ns,1,contrast0.7,0.7,adaptive_mmpp,0.8434722222222222
contrast,det_nonpar_dt50ns_ap0.01_tau100ns,2,contrast0.85,0.85,threshold,0.8635416666666667
contrast,det_nonpar_dt50ns_ap0.01_tau100ns,2,contrast0.85,0.85,adaptive_count,0.8546527777777778
contrast,det_nonpar_dt50ns_ap0.01_tau100ns,2,contrast0.85,0.85,fixed_count_mmpp,0.87375
contrast,det_nonpar_dt50ns_ap0.01_tau100ns,2,contrast0.85,0.85,adaptive_mmpp,0.8745138888888888
contrast,det_nonpar_dt50ns_ap0.01_tau100ns,3,contrast0.95,0.95,threshold,0.8950694444444445
contrast,det_nonpar_dt50ns_ap0.01_tau100ns,3,contrast0.95,0.95,adaptive_count,0.895
contrast,det_nonpar_dt50ns_ap0.01_tau100ns,3,contrast0.95,0.95,fixed_count_mmpp,0.9077083333333333
contrast,det_nonpar_dt50ns_ap0.01_tau100ns,3,contrast0.95,0.95,adaptive_mmpp,0.9097222222222222
contrast,det_nonpar_dt50ns_ap0.01_tau100ns,4,contrast0.99,0.99,threshold,0.9259722222222222
contrast,det_nonpar_dt50ns_ap0.01_tau100ns,4,contrast0.99,0.99,adaptive_count,0.9244444444444444
contrast,det_nonpar_dt50ns_ap0.01_tau100ns,4,contrast0.99,0.99,fixed_count_mmpp,0.9270833333333333
contrast,det_nonpar_dt50ns_ap0.01_tau100ns,4,contrast0.99,0.99,adaptive_mmpp,0.9276388888888889
