experiment,detector,point_index,point,sweep_value,method,max_balanced_fidelity
contrast,ideal,0,contrast0.5,0.5,threshold,0.76375
contrast,ideal,0,contrast0.5,0.5,adaptive_count,0.7572916666666667
contrast,ideal,0,contrast0.5,0.5,fixed_count_mmpp,0.7810416666666666
contrast,ideal,0,contrast0.5,0.5,adaptive_mmpp,0.7794444444444444
contrast,ideal,1,contrast0.7,0.7,threshold,0.8252083333333333
contrast,ideal,1,contrast0.7,0.7,adaptive_count,0.8222916666666666
contrast,ideal,1,contrast0.7,0.7,fixed_count_mmpp,0.8426388888888889
contrast,ideal,1,contrast0.7,0.7,adaptive_mmpp,0.8415277777777778
contrast,ideal,2,contrast0.85,0.85,threshold,0.8684027777777779
contrast,ideal,2,contrast0.85,0.85,adaptive_count,0.8595833333333334
contrast,ideal,2,contrast0.85,0.85,fixed_count_mmpp,0.8807638888888889
contrast,ideal,2,contrast0.85,0.85,adaptive_mmpp,0.8819444444444444
contrast,ideal,3,contrast0.95,0.95,threshold,0.8986805555555555
contrast,ideal,3,contrast0.95,0.95,adaptive_count,0.8990277777777778
contrast,ideal,3,contrast0.95,0.95,fixed_count_mmpp,0.9115972222222222
contrast,ideal,3,contrast0.95,0.95,adaptive_mmpp,0.9117361111111111
contrast,ideal,4,contrast0.99,0.99,threshold,0.9253472222222222
contrast,ideal,4,contrast0.99,0.99,adaptive_count,0.9240277777777778
contrast,ideal,4,contrast0.99,0.99,fixed_count_mmpp,0.92625
contrast,ideal,4,contrast0.99,0.99,adaptive_mmpp,0.9281250000000001
