experiment,detector,physics_layer,point_index,point,sweep_value,method,max_balanced_fidelity
demo,det_nonpar_dt2000ns_ap0.05_tau5000ns,nv_charge_readout_master_v1_4,0,high_flux,9.932170229495307,threshold,0.8735416666666667
demo,det_nonpar_dt2000ns_ap0.05_tau5000ns,nv_charge_readout_master_v1_4,0,high_flux,9.932170229495307,fixed_mmpp,0.8824305555555556
demo,det_nonpar_dt2000ns_ap0.05_tau5000ns,nv_charge_readout_master_v1_4,0,high_flux,9.932170229495307,adaptive_count,0.8720833333333333
demo,det_nonpar_dt2000ns_ap0.05_tau5000ns,nv_charge_readout_master_v1_4,0,high_flux,9.932170229495307,fixed_count_mmpp,0.8811805555555556
demo,det_nonpar_dt2000ns_ap0.05_tau5000ns,nv_charge_readout_master_v1_4,0,high_flux,9.932170229495307,adaptive_mmpp,0.8823611111111112
demo,det_nonpar_dt2000ns_ap0.05_tau5000ns,nv_charge_readout_master_v1_4,1,moderate,27.43339830432224,threshold,0.9333333333333333
demo,det_nonpar_dt2000ns_ap0.05_tau5000ns,nv_charge_readout_master_v1_4,1,moderate,27.43339830432224,fixed_mmpp,0.9394444444444444
demo,det_nonpar_dt2000ns_ap0.05_tau5000ns,nv_charge_readout_master_v1_4,1,moderate,27.43339830432224,adaptive_count,0.9325694444444445
demo,det_nonpar_dt2000ns_ap0.05_tau5000ns,nv_charge_readout_master_v1_4,1,moderate,27.43339830432224,fixed_count_mmpp,0.9388888888888889
demo,det_nonpar_dt2000ns_ap0.05_tau5000ns,nv_charge_readout_master_v1_4,1,moderate,27.43339830432224,adaptive_mmpp,0.9397916666666667
demo,det_nonpar_dt2000ns_ap0.05_tau5000ns,nv_charge_readout_master_v1_4,2,sparse,2.7433398304322245,threshold,0.7945833333333333
demo,det_nonpar_dt2000ns_ap0.05_tau5000ns,nv_charge_readout_master_v1_4,2,sparse,2.7433398304322245,fixed_mmpp,0.7975694444444444
demo,det_nonpar_dt2000ns_ap0.05_tau5000ns,nv_charge_readout_master_v1_4,2,sparse,2.7433398304322245,adaptive_count,0.7953472222222222
demo,det_nonpar_dt2000ns_ap0.05_tau5000ns,nv_charge_readout_master_v1_4,2,sparse,2.7433398304322245,fixed_count_mmpp,0.7979861111111111
demo,det_nonpar_dt2000ns_ap0.05_tau5000ns,nv_charge_readout_master_v1_4,2,sparse,2.7433398304322245,adaptive_mmpp,0.7977777777777777
