experiment,detector,point_index,point,sweep_value,method,max_balanced_fidelity
demo,det_nonpar_dt50ns_ap0.01_tau100ns,0,high_flux,2.8995965459017876,threshold,0.8105555555555556
demo,det_nonpar_dt50ns_ap0.01_tau100ns,0,high_flux,2.8995965459017876,fixed_mmpp,0.8125
demo,det_nonpar_dt50ns_ap0.01_tau100ns,0,high_flux,2.8995965459017876,adaptive_count,0.8105555555555556
demo,det_nonpar_dt50ns_ap0.01_tau100ns,0,high_flux,2.8995965459017876,fixed_count_mmpp,0.8108333333333333
demo,det_nonpar_dt50ns_ap0.01_tau100ns,0,high_flux,2.8995965459017876,adaptive_mmpp,0.8116666666666666
demo,det_nonpar_dt50ns_ap0.01_tau100ns,1,moderate,10.401528157851567,threshold,0.9011111111111111
demo,det_nonpar_dt50ns_ap0.01_tau100ns,1,moderate,10.401528157851567,fixed_mmpp,0.9116666666666666
demo,det_nonpar_dt50ns_ap0.01_tau100ns,1,moderate,10.401528157851567,adaptive_count,0.8997222222222222
demo,det_nonpar_dt50ns_ap0.01_tau100ns,1,moderate,10.401528157851567,fixed_count_mmpp,0.9111111111111112
demo,det_nonpar_dt50ns_ap0.01_tau100ns,1,moderate,10.401528157851567,adaptive_mmpp,0.9116666666666666
demo,det_nonpar_dt50ns_ap0.01_tau100ns,2,sparse,1.0401528157851567,threshold,0.7108333333333333
demo,det_nonpar_dt50ns_ap0.01_tau100ns,2,sparse,1.0401528157851567,fixed_mmpp,0.7102777777777778
demo,det_nonpar_dt50ns_ap0.01_tau100ns,2,sparse,1.0401528157851567,adaptive_count,0.7083333333333334
demo,det_nonpar_dt50ns_ap0.01_tau100ns,2,sparse,1.0401528157851567,fixed_count_mmpp,0.7105555555555556
demo,det_nonpar_dt50ns_ap0.01_tau100ns,2,sparse,1.0401528157851567,adaptive_mmpp,0.7105555555555556
