experiment,detector,physics_layer,efficiency_model,point_index,point,sweep_value,power_uw,detection_efficiency,photons_per_bright_dwell,contrast,switching_ratio,snr_per_bright_dwell,p_bright_stationary,gamma_tot_khz,horizon_us,noise_sigma,noise_tau_c_ms,noise_kind,noise_photon_order,noise_renormalise,q_excess_finest_bin,target_fidelity,t_threshold_us,t_adaptive_count_us,t_fixed_count_mmpp_us,t_adaptive_mmpp_us,speedup_mmpp,speedup_mmpp_ci_low,speedup_mmpp_ci_high,speedup_count,speedup_count_ci_low,speedup_count_ci_high,speedup_fixed_count_mmpp,speedup_fixed_count_mmpp_ci_low,speedup_fixed_count_mmpp_ci_high
demo,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,thin_all_counts,0,high_flux,9.932170229495307,15.0,1.0,9.932170229495307,0.9199668888580719,6.89454823783182,7.478904304027249,0.1266696927897476,62.300701647345946,100.0,0.0,0.1,off,2.0,mean,-0.047192602689408836,0.55,0.19955504512911174,0.6703993935675332,0.6703993935675332,0.19430971036088515,1.0269947125055388,1.0127620037904923,1.0560310191209854,0.2976659093725887,0.27681981553203894,0.32071512820716996,0.2976659093725887,0.27681981553203894,0.32071512820716996
demo,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,thin_all_counts,0,high_flux,9.932170229495307,15.0,1.0,9.932170229495307,0.9199668888580719,6.89454823783182,7.478904304027249,0.1266696927897476,62.300701647345946,100.0,0.0,0.1,off,2.0,mean,-0.047192602689408836,0.56,0.2450380322855225,0.6703993935675332,0.6703993935675332,0.2336113551875691,1.0489131921210715,1.0243366960810174,1.0724327167811962,0.3655105219913037,0.34044360208332325,0.39573563222070474,0.3655105219913037,0.34044360208332325,0.39573563222070474
demo,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,thin_all_counts,0,high_flux,9.932170229495307,15.0,1.0,9.932170229495307,0.9199668888580719,6.89454823783182,7.478904304027249,0.1266696927897476,62.300701647345946,100.0,0.0,0.1,off,2.0,mean,-0.047192602689408836,0.57,0.29353282290803573,0.6703993935675332,0.6703993935675332,0.28086226453229457,1.0451130677766227,1.0342126267096183,1.0661558068388701,0.4378476856102145,0.40704602735031453,0.47249649659549814,0.4378476856102145,0.40704602735031453,0.47249649659549814
demo,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,thin_all_counts,0,high_flux,9.932170229495307,15.0,1.0,9.932170229495307,0.9199668888580719,6.89454823783182,7.478904304027249,0.1266696927897476,62.300701647345946,100.0,0.0,0.1,off,2.0,mean,-0.047192602689408836,0.58,0.340104144820793,0.6703993935675332,0.6703993935675332,0.3180334505458423,1.0693973990379648,1.0531908687830678,1.0899142472561427,0.5073157107301773,0.48098197117321323,0.541120104655333,0.5073157107301773,0.48098197117321323,0.541120104655333
demo,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,thin_all_counts,0,high_flux,9.932170229495307,15.0,1.0,9.932170229495307,0.9199668888580719,6.89454823783182,7.478904304027249,0.1266696927897476,62.300701647345946,100.0,0.0,0.1,off,2.0,mean,-0.047192602689408836,0.59,0.3857229778226933,0.6703993935675332,0.6703993935675332,0.3576239729790738,1.0785713681595495,1.055634287335485,1.1024241985201462,0.5753629575499268,0.5454491410658411,0.6121935852971597,0.5753629575499268,0.5454491410658411,0.6121935852971597
demo,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,thin_all_counts,0,high_flux,9.932170229495307,15.0,1.0,9.932170229495307,0.9199668888580719,6.89454823783182,7.478904304027249,0.1266696927897476,62.300701647345946,100.0,0.0,0.1,off,2.0,mean,-0.047192602689408836,0.6,0.4346540544286048,0.6703993935675332,0.6703993935675332,0.40214293757411573,1.0808446793834274,1.0619996449790046,1.0993539922264746,0.6483509063389682,0.6157233413905682,0.6861476915840737,0.6483509063389682,0.6157233413905682,0.6861476915840737
demo,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,thin_all_counts,0,high_flux,9.932170229495307,15.0,1.0,9.932170229495307,0.9199668888580719,6.89454823783182,7.478904304027249,0.1266696927897476,62.300701647345946,100.0,0.0,0.1,off,2.0,mean,-0.047192602689408836,0.61,0.483601402205661,0.6703993935675332,0.6703993935675332,0.45220386344234836,1.0694322656252926,1.0645351290101226,1.0840482766709207,0.7213631259899775,0.6870058618667456,0.7647472755382918,0.7213631259899775,0.6870058618667456,0.7647472755382918
demo,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,thin_all_counts,0,high_flux,9.932170229495307,15.0,1.0,9.932170229495307,0.9199668888580719,6.89454823783182,7.478904304027249,0.1266696927897476,62.300701647345946,100.0,0.0,0.1,off,2.0,mean,-0.047192602689408836,0.62,0.5419139199392043,0.6703993935675332,0.6703993935675332,0.4973480205485917,1.0896070710032282,1.075003960347807,1.1029213357280814,0.8083448838690129,0.7613550236226234,0.8477334245957329,0.8083448838690129,0.7613550236226234,0.8477334245957329
demo,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,thin_all_counts,0,high_flux,9.932170229495307,15.0,1.0,9.932170229495307,0.9199668888580719,6.89454823783182,7.478904304027249,0.1266696927897476,62.300701647345946,100.0,0.0,0.1,off,2.0,mean,-0.047192602689408836,0.63,0.5965073499825518,0.6703993935675332,0.6703993935675332,0.5456946427359434,1.093115642462329,1.0777991034786618,1.108403815460843,0.8897790715594707,0.8456258685659228,0.9375684221325513,0.8897790715594707,0.8456258685659228,0.9375684221325513
demo,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,thin_all_counts,0,high_flux,9.932170229495307,15.0,1.0,9.932170229495307,0.9199668888580719,6.89454823783182,7.478904304027249,0.1266696927897476,62.300701647345946,100.0,0.0,0.1,off,2.0,mean,-0.047192602689408836,0.64,0.6615875294426431,0.6703993935675332,0.6703993935675332,0.5987409837928873,1.104964496085832,1.0906861641593595,1.1162963960355854,0.9868557993795345,0.9336877532240503,1.0374852721068366,0.9868557993795345,0.9336877532240503,1.0374852721068366
