experiment,detector,physics_layer,point_index,point,photons_per_bright_dwell,snr_per_bright_dwell,a_over_c,cost_discard,band_lo,band_hi,L,offset,exact_L,exact_offset,exact_deadline_us,degenerate,sprt_risk,exact_risk,sprt_discard_rate,exact_discard_rate,sprt_accuracy_retained,exact_accuracy_retained,sprt_fidelity_all_shots,exact_fidelity_all_shots,sprt_yield_per_ms,exact_yield_per_ms,sprt_T_us,exact_T_us,learned_risk,learned_discard_rate,learned_accuracy_retained,learned_fidelity_all_shots,learned_yield_per_ms,learned_T_us,risk_reduction_pct
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,9.932170229495307,7.478904304027249,500.0,inf,nan,nan,1.4968883209522534,-0.2,2.2698009276097086,0.2,12.214111259715898,0,0.12921831597222222,0.12034718968699565,0.0,0.0,0.8808333333333334,0.8901388888888889,0.8808333333333334,0.8901388888888888,198.97232177555162,190.72906859572083,5.025824652777778,5.243039287942267,0.12041753472222222,0.0,0.8905555555555555,0.8905555555555555,182.26406138754845,5.486545138888889,-0.058451747323329785
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,9.932170229495307,7.478904304027249,500.0,0.45,-0.2006706954621511,0.20067069546215133,1.4968883209522534,-0.2,2.2698009276097086,0.0,12.214111259715898,0,0.1292009548611111,0.12026602613375666,0.0010416666666666667,0.020208333333333335,0.881195689954814,0.8995676518534269,0.8802777777777778,0.8813888888888889,198.76505894036873,153.45812957607893,5.025824652777778,6.384749177989438,0.12082226562500001,0.005,0.891750418760469,0.8872916666666667,183.17492658956073,5.431966145833334,-0.4625075835005282
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,9.932170229495307,7.478904304027249,500.0,0.35,-0.6190392084062236,0.6190392084062236,1.8432684284784902,0.0,2.2698009276097086,0.0,12.214111259715898,0,0.12526193576388886,0.11675213724486777,0.026250000000000002,0.04729166666666667,0.8968763371844245,0.908229462788833,0.8733333333333333,0.8652777777777778,124.37914928414021,149.21625059566426,7.828884548611111,6.384749177989438,0.11765049913194443,0.06055555555555556,0.9105558840922531,0.8554166666666667,151.17855053737156,6.214138454861111,-0.7694607638680746
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,9.932170229495307,7.478904304027249,500.0,0.25,-1.0986122886681096,1.0986122886681096,2.2698009276097086,0.0,2.795033089798302,0.0,12.214111259715898,0,0.12175282118055555,0.11153001816928078,0.08527777777777779,0.09937499999999999,0.9198299423018524,0.922970159611381,0.841388888888889,0.83125,67.50706695388261,104.05072478724337,13.55002170138889,8.655634084640386,0.11217914496527778,0.13854166666666667,0.9251108424022572,0.7969444444444445,132.22854192516843,6.514919704861111,-0.5820198065526687
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,9.932170229495307,7.478904304027249,500.0,0.15,-1.7346010553881064,1.7346010553881062,2.2698009276097086,0.0,2.795033089798302,0.5,12.214111259715898,0,0.11105490451388889,0.0961105106792981,0.12868055555555558,0.16284722222222223,0.9257989957758826,0.9339693073413521,0.8066666666666666,0.7818750000000001,64.30391505241157,102.05664509635054,13.55002170138889,8.202824784093492,0.09586773003472222,0.18381944444444445,0.9315919339743044,0.7603472222222223,130.99255518307285,6.230740017361111,0.2526057169605394
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,9.932170229495307,7.478904304027249,500.0,0.08,-2.4423470353692047,2.442347035369205,1.8432684284784902,1.0,2.2698009276097086,1.0,6.060137744534691,0,0.07243967013888888,0.06710609611157019,0.6875,0.684375,0.9808888888888889,0.9801980198019802,0.3065277777777778,0.309375,54.50210060179402,103.38029216472212,5.733723958333334,3.053048055785096,0.06697884114583333,0.7020833333333334,0.9836829836829837,0.29305555555555557,100.12216245783571,2.9755316840277777,0.18963249706149715
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,9.932170229495307,7.478904304027249,500.0,0.04,-3.1780538303479453,3.1780538303479444,0.1,0.0,2.2698009276097086,1.0,6.060137744534691,0,0.040259722222222225,0.03970887388934797,0.9674305555555556,0.7220138888888888,1.0,0.9830127404446665,0.03256944444444444,0.27326388888888886,41.68888888888887,91.05199329711388,0.78125,3.053048055785096,0.03736968315972222,0.7809027777777777,0.9908082408874802,0.21708333333333332,106.36605473174075,2.059841579861111,5.890851340040751
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,9.932170229495307,7.478904304027249,500.0,0.02,-3.8918202981106265,3.8918202981106256,0.1,0.0,0.5286807249936678,0.5,0.7401919666095049,1,0.020911111111111113,0.020110023159694394,0.9674305555555556,1.0,1.0,nan,0.03256944444444444,0.0,41.68888888888887,0.0,0.78125,0.05501157984719686,0.02,1.0,nan,0.0,0.0,0.0,0.5471060814833287
demo,ideal,nv_charge_readout_master_v1_4,1,moderate,27.43339830432224,12.911749357161563,500.0,inf,nan,nan,2.2698009276097086,-0.5,2.795033089798302,0.0,29.840478040022404,0,0.10254069010416667,0.09065263868045752,0.0,0.0,0.9343055555555555,0.9354166666666667,0.9343055555555555,0.9354166666666667,54.27961422366193,76.71857663137271,18.42312282986111,13.034652673562086,0.09194769965277777,0.0,0.941875,0.941875,59.13188540630714,16.91134982638889,-1.4285971055792732
demo,ideal,nv_charge_readout_master_v1_4,1,moderate,27.43339830432224,12.911749357161563,500.0,0.45,-0.2006706954621511,0.20067069546215133,2.2698009276097086,-0.5,2.795033089798302,0.0,29.840478040022404,0,0.10237402343749999,0.09069430534712418,0.0005555555555555556,0.0061111111111111106,0.9346859366314619,0.9377445500279485,0.9341666666666666,0.9320138888888889,54.249458882426566,76.2497408852921,18.42312282986111,13.034652673562086,0.08852132161458333,0.005555555555555555,0.9452513966480447,0.94,62.98561058373782,15.788438585069443,2.395942859062599
demo,ideal,nv_charge_readout_master_v1_4,1,moderate,27.43339830432224,12.911749357161563,500.0,0.35,-0.6190392084062236,0.6190392084062236,2.2698009276097086,-0.5,2.795033089798302,0.0,29.840478040022404,0,0.10210319010416669,0.08885402756934638,0.0015277777777777776,0.01986111111111111,0.9351787453053276,0.9430352841150631,0.9337500000000001,0.9243055555555555,54.19668703526467,75.19486045661073,18.42312282986111,13.034652673562086,0.08838671875,0.017916666666666668,0.947532173667091,0.9305555555555556,64.21340901028734,15.294053819444445,0.5259286856543104
demo,ideal,nv_charge_readout_master_v1_4,1,moderate,27.43339830432224,12.911749357161563,500.0,0.25,-1.0986122886681096,1.0986122886681096,2.2698009276097086,-0.5,2.795033089798302,0.0,29.840478040022404,0,0.10129069010416668,0.08573944423601307,0.0038888888888888888,0.033125,0.9362799776910207,0.9468505350858292,0.9326388888888889,0.9154861111111111,54.06852683501435,74.17727378045849,18.42312282986111,13.034652673562086,0.08628092447916667,0.05430555555555556,0.9579967689822294,0.9059722222222222,57.34554965209809,16.49115668402778,-0.6315415827318459
