experiment,detector,point_index,point,sweep_value,power_uw,detection_efficiency,photons_per_bright_dwell,contrast,switching_ratio,snr_per_bright_dwell,p_bright_stationary,gamma_tot_khz,horizon_us,noise_sigma,noise_tau_c_ms,noise_kind,noise_photon_order,noise_renormalise,q_excess_finest_bin,target_fidelity,t_threshold_us,t_adaptive_count_us,t_fixed_count_mmpp_us,t_adaptive_mmpp_us,speedup_mmpp,speedup_mmpp_ci_low,speedup_mmpp_ci_high,speedup_count,speedup_count_ci_low,speedup_count_ci_high,speedup_fixed_count_mmpp,speedup_fixed_count_mmpp_ci_low,speedup_fixed_count_mmpp_ci_high
demo,ideal,0,high_flux,2.8995965459017876,15.0,1.0,2.8995965459017876,0.9607843137254902,6.343847409922766,4.260086695663977,0.1361684065832894,47.27834437446891,100.0,0.0,0.1,off,2.0,mean,-0.014972640382216906,0.55,0.9887121784579795,3.0926337400838912,3.0926337400838912,0.947613978282223,1.043370191995539,1.0226280835946893,1.063005811986604,0.31969908548923726,0.3006989349776302,0.3407837509533558,0.31969908548923726,0.3006989349776302,0.3407837509533558
demo,ideal,0,high_flux,2.8995965459017876,15.0,1.0,2.8995965459017876,0.9607843137254902,6.343847409922766,4.260086695663977,0.1361684065832894,47.27834437446891,100.0,0.0,0.1,off,2.0,mean,-0.014972640382216906,0.56,1.1876080927337638,3.0926337400838912,3.0926337400838912,1.1371967105214824,1.0443295181439316,1.0244877787714215,1.0617817984034201,0.3840118787236501,0.36195193703466366,0.4093678273768709,0.3840118787236501,0.36195193703466366,0.4093678273768709
demo,ideal,0,high_flux,2.8995965459017876,15.0,1.0,2.8995965459017876,0.9607843137254902,6.343847409922766,4.260086695663977,0.1361684065832894,47.27834437446891,100.0,0.0,0.1,off,2.0,mean,-0.014972640382216906,0.57,1.3941042689599628,3.0926337400838912,3.0926337400838912,1.338028973066236,1.0419088801681358,1.030199908792225,1.054922779254443,0.45078220899256766,0.42762352001640375,0.4768946878744503,0.45078220899256766,0.42762352001640375,0.4768946878744503
demo,ideal,0,high_flux,2.8995965459017876,15.0,1.0,2.8995965459017876,0.9607843137254902,6.343847409922766,4.260086695663977,0.1361684065832894,47.27834437446891,100.0,0.0,0.1,off,2.0,mean,-0.014972640382216906,0.58,1.6235672781807504,3.0926337400838912,3.0926337400838912,1.5094844289354912,1.0755773607586745,1.0485230894423416,1.0955993519412912,0.5249788415412907,0.49478561319926695,0.5525996186405387,0.5249788415412907,0.49478561319926695,0.5525996186405387
demo,ideal,0,high_flux,2.8995965459017876,15.0,1.0,2.8995965459017876,0.9607843137254902,6.343847409922766,4.260086695663977,0.1361684065832894,47.27834437446891,100.0,0.0,0.1,off,2.0,mean,-0.014972640382216906,0.59,1.8366535782680569,3.0926337400838912,3.0926337400838912,1.7029102411565733,1.0785381013509252,1.0562155687578474,1.1031081640566522,0.593880081712565,0.5629864557747764,0.628507112479108,0.593880081712565,0.5629864557747764,0.628507112479108
demo,ideal,0,high_flux,2.8995965459017876,15.0,1.0,2.8995965459017876,0.9607843137254902,6.343847409922766,4.260086695663977,0.1361684065832894,47.27834437446891,100.0,0.0,0.1,off,2.0,mean,-0.014972640382216906,0.6,2.062681731609039,3.0926337400838912,3.0926337400838912,1.921121698142318,1.0736861353466605,1.059753747156674,1.0912613156654873,0.6669660570776437,0.6382312828726701,0.7002355500005999,0.6669660570776437,0.6382312828726701,0.7002355500005999
demo,ideal,0,high_flux,2.8995965459017876,15.0,1.0,2.8995965459017876,0.9607843137254902,6.343847409922766,4.260086695663977,0.1361684065832894,47.27834437446891,100.0,0.0,0.1,off,2.0,mean,-0.014972640382216906,0.61,2.294208747212211,3.0926337400838912,3.0926337400838912,2.153695058561627,1.0652430751939543,1.0580965687358772,1.0768680823012897,0.7418300840079363,0.7085640769699715,0.778658274029894,0.7418300840079363,0.7085640769699715,0.778658274029894
demo,ideal,0,high_flux,2.8995965459017876,15.0,1.0,2.8995965459017876,0.9607843137254902,6.343847409922766,4.260086695663977,0.1361684065832894,47.27834437446891,100.0,0.0,0.1,off,2.0,mean,-0.014972640382216906,0.62,2.5777075527222504,3.0926337400838912,3.0926337400838912,2.3765433664640185,1.0846457039652246,1.0617273078560965,1.1055682425301663,0.8334991367753516,0.7859700839306536,0.8793044495029206,0.8334991367753516,0.7859700839306536,0.8793044495029206
demo,ideal,0,high_flux,2.8995965459017876,15.0,1.0,2.8995965459017876,0.9607843137254902,6.343847409922766,4.260086695663977,0.1361684065832894,47.27834437446891,100.0,0.0,0.1,off,2.0,mean,-0.014972640382216906,0.63,2.877013447240569,3.0926337400838912,3.0926337400838912,2.6224503558345873,1.0970706998664872,1.0804690887911363,1.1125169956444332,0.9302793958273657,0.8849761594199355,0.97560466876016,0.9302793958273657,0.8849761594199355,0.97560466876016
demo,ideal,0,high_flux,2.8995965459017876,15.0,1.0,2.8995965459017876,0.9607843137254902,6.343847409922766,4.260086695663977,0.1361684065832894,47.27834437446891,100.0,0.0,0.1,off,2.0,mean,-0.014972640382216906,0.64,3.1560852774419437,3.0926337400838912,3.0926337400838912,2.8938019671189013,1.0906362333370636,1.045029256826929,1.1034156627560376,1.0205169905946674,0.9782623512917971,1.0641332051331314,1.0205169905946674,0.9782623512917971,1.0641332051331314
