experiment,detector,physics_layer,point_index,point,sweep_value,method,max_balanced_fidelity
efficiency,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,0,eta0.02,0.02,threshold,0.6416666666666666
efficiency,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,0,eta0.02,0.02,adaptive_count,0.6411805555555555
efficiency,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,0,eta0.02,0.02,fixed_count_mmpp,0.6430555555555555
efficiency,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,0,eta0.02,0.02,adaptive_mmpp,0.6430555555555555
efficiency,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,1,eta0.05,0.05,threshold,0.7277777777777777
efficiency,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,1,eta0.05,0.05,adaptive_count,0.7253472222222221
efficiency,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,1,eta0.05,0.05,fixed_count_mmpp,0.7289583333333334
efficiency,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,1,eta0.05,0.05,adaptive_mmpp,0.7285416666666666
efficiency,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,2,eta0.15,0.15,threshold,0.8170833333333334
efficiency,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,2,eta0.15,0.15,adaptive_count,0.814861111111111
efficiency,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,2,eta0.15,0.15,fixed_count_mmpp,0.8225694444444445
efficiency,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,2,eta0.15,0.15,adaptive_mmpp,0.8235416666666666
efficiency,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,3,eta0.4,0.4,threshold,0.8916666666666666
efficiency,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,3,eta0.4,0.4,adaptive_count,0.8888888888888888
efficiency,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,3,eta0.4,0.4,fixed_count_mmpp,0.8990972222222222
efficiency,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,3,eta0.4,0.4,adaptive_mmpp,0.8990972222222222
efficiency,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,4,eta1,1.0,threshold,0.9422916666666666
efficiency,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,4,eta1,1.0,adaptive_count,0.9375
efficiency,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,4,eta1,1.0,fixed_count_mmpp,0.9451388888888889
efficiency,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,4,eta1,1.0,adaptive_mmpp,0.9485416666666666
