experiment,detector,physics_layer,point_index,point,sweep_value,method,max_balanced_fidelity
efficiency,ideal,nv_charge_readout_master_v1_4,0,eta0.02,0.02,threshold,0.6431944444444444
efficiency,ideal,nv_charge_readout_master_v1_4,0,eta0.02,0.02,adaptive_count,0.6411805555555555
efficiency,ideal,nv_charge_readout_master_v1_4,0,eta0.02,0.02,fixed_count_mmpp,0.6353472222222222
efficiency,ideal,nv_charge_readout_master_v1_4,0,eta0.02,0.02,adaptive_mmpp,0.6433333333333333
efficiency,ideal,nv_charge_readout_master_v1_4,1,eta0.05,0.05,threshold,0.7298611111111111
efficiency,ideal,nv_charge_readout_master_v1_4,1,eta0.05,0.05,adaptive_count,0.7270138888888888
efficiency,ideal,nv_charge_readout_master_v1_4,1,eta0.05,0.05,fixed_count_mmpp,0.7311805555555555
efficiency,ideal,nv_charge_readout_master_v1_4,1,eta0.05,0.05,adaptive_mmpp,0.7306944444444445
efficiency,ideal,nv_charge_readout_master_v1_4,2,eta0.15,0.15,threshold,0.8217361111111111
efficiency,ideal,nv_charge_readout_master_v1_4,2,eta0.15,0.15,adaptive_count,0.8216666666666667
efficiency,ideal,nv_charge_readout_master_v1_4,2,eta0.15,0.15,fixed_count_mmpp,0.829375
efficiency,ideal,nv_charge_readout_master_v1_4,2,eta0.15,0.15,adaptive_mmpp,0.829375
efficiency,ideal,nv_charge_readout_master_v1_4,3,eta0.4,0.4,threshold,0.8903472222222222
efficiency,ideal,nv_charge_readout_master_v1_4,3,eta0.4,0.4,adaptive_count,0.8883333333333333
efficiency,ideal,nv_charge_readout_master_v1_4,3,eta0.4,0.4,fixed_count_mmpp,0.9015972222222222
efficiency,ideal,nv_charge_readout_master_v1_4,3,eta0.4,0.4,adaptive_mmpp,0.9022222222222223
efficiency,ideal,nv_charge_readout_master_v1_4,4,eta1,1.0,threshold,0.9404166666666667
efficiency,ideal,nv_charge_readout_master_v1_4,4,eta1,1.0,adaptive_count,0.9370138888888888
efficiency,ideal,nv_charge_readout_master_v1_4,4,eta1,1.0,fixed_count_mmpp,0.9470833333333333
efficiency,ideal,nv_charge_readout_master_v1_4,4,eta1,1.0,adaptive_mmpp,0.9470833333333333
