experiment,detector,physics_layer,point_index,point,sweep_value,method,max_balanced_fidelity
noise,ideal,nv_charge_readout_master_v1_4,0,sigma0,0.0,threshold,0.9404166666666667
noise,ideal,nv_charge_readout_master_v1_4,0,sigma0,0.0,adaptive_count,0.9370138888888888
noise,ideal,nv_charge_readout_master_v1_4,0,sigma0,0.0,fixed_count_mmpp,0.9470833333333333
noise,ideal,nv_charge_readout_master_v1_4,0,sigma0,0.0,adaptive_mmpp,0.9470833333333333
noise,ideal,nv_charge_readout_master_v1_4,1,sigma0.05,0.05,threshold,0.9401388888888889
noise,ideal,nv_charge_readout_master_v1_4,1,sigma0.05,0.05,adaptive_count,0.9346527777777778
noise,ideal,nv_charge_readout_master_v1_4,1,sigma0.05,0.05,fixed_count_mmpp,0.9427083333333333
noise,ideal,nv_charge_readout_master_v1_4,1,sigma0.05,0.05,adaptive_mmpp,0.9468055555555556
noise,ideal,nv_charge_readout_master_v1_4,2,sigma0.1,0.1,threshold,0.9379861111111112
noise,ideal,nv_charge_readout_master_v1_4,2,sigma0.1,0.1,adaptive_count,0.9361111111111111
noise,ideal,nv_charge_readout_master_v1_4,2,sigma0.1,0.1,fixed_count_mmpp,0.9434027777777778
noise,ideal,nv_charge_readout_master_v1_4,2,sigma0.1,0.1,adaptive_mmpp,0.9443055555555555
noise,ideal,nv_charge_readout_master_v1_4,3,sigma0.2,0.2,threshold,0.9361805555555556
noise,ideal,nv_charge_readout_master_v1_4,3,sigma0.2,0.2,adaptive_count,0.9295833333333333
noise,ideal,nv_charge_readout_master_v1_4,3,sigma0.2,0.2,fixed_count_mmpp,0.9427777777777777
noise,ideal,nv_charge_readout_master_v1_4,3,sigma0.2,0.2,adaptive_mmpp,0.944236111111111
noise,ideal,nv_charge_readout_master_v1_4,4,sigma0.3,0.3,threshold,0.9304861111111111
noise,ideal,nv_charge_readout_master_v1_4,4,sigma0.3,0.3,adaptive_count,0.9274305555555555
noise,ideal,nv_charge_readout_master_v1_4,4,sigma0.3,0.3,fixed_count_mmpp,0.9368055555555556
noise,ideal,nv_charge_readout_master_v1_4,4,sigma0.3,0.3,adaptive_mmpp,0.9372916666666666
