experiment,detector,point_index,point,sweep_value,method,max_balanced_fidelity
noise_setpoint,ideal,0,sigma0,0.0,threshold,0.9048611111111111
noise_setpoint,ideal,0,sigma0,0.0,adaptive_count,0.9040972222222222
noise_setpoint,ideal,0,sigma0,0.0,fixed_count_mmpp,0.9125694444444444
noise_setpoint,ideal,0,sigma0,0.0,adaptive_mmpp,0.913125
noise_setpoint,ideal,1,sigma0.05,0.05,threshold,0.9001388888888888
noise_setpoint,ideal,1,sigma0.05,0.05,adaptive_count,0.9
noise_setpoint,ideal,1,sigma0.05,0.05,fixed_count_mmpp,0.909375
noise_setpoint,ideal,1,sigma0.05,0.05,adaptive_mmpp,0.9104166666666667
noise_setpoint,ideal,2,sigma0.1,0.1,threshold,0.9014583333333334
noise_setpoint,ideal,2,sigma0.1,0.1,adaptive_count,0.9013888888888888
noise_setpoint,ideal,2,sigma0.1,0.1,fixed_count_mmpp,0.9123611111111112
noise_setpoint,ideal,2,sigma0.1,0.1,adaptive_mmpp,0.9130555555555555
noise_setpoint,ideal,3,sigma0.2,0.2,threshold,0.8925
noise_setpoint,ideal,3,sigma0.2,0.2,adaptive_count,0.8922916666666667
noise_setpoint,ideal,3,sigma0.2,0.2,fixed_count_mmpp,0.903125
noise_setpoint,ideal,3,sigma0.2,0.2,adaptive_mmpp,0.902986111111111
noise_setpoint,ideal,4,sigma0.3,0.3,threshold,0.8832638888888888
noise_setpoint,ideal,4,sigma0.3,0.3,adaptive_count,0.8829861111111111
noise_setpoint,ideal,4,sigma0.3,0.3,fixed_count_mmpp,0.8874305555555555
noise_setpoint,ideal,4,sigma0.3,0.3,adaptive_mmpp,0.8892361111111111
