experiment,detector,point_index,point,sweep_value,method,max_balanced_fidelity
noise_tau,ideal,0,tau0.01ms,0.01,threshold,0.9052083333333334
noise_tau,ideal,0,tau0.01ms,0.01,adaptive_count,0.905
noise_tau,ideal,0,tau0.01ms,0.01,fixed_count_mmpp,0.9168750000000001
noise_tau,ideal,0,tau0.01ms,0.01,adaptive_mmpp,0.9172222222222222
noise_tau,ideal,1,tau0.03ms,0.03,threshold,0.8991666666666667
noise_tau,ideal,1,tau0.03ms,0.03,adaptive_count,0.8990277777777778
noise_tau,ideal,1,tau0.03ms,0.03,fixed_count_mmpp,0.9119444444444444
noise_tau,ideal,1,tau0.03ms,0.03,adaptive_mmpp,0.9117361111111111
noise_tau,ideal,2,tau0.1ms,0.1,threshold,0.8997222222222222
noise_tau,ideal,2,tau0.1ms,0.1,adaptive_count,0.8993055555555556
noise_tau,ideal,2,tau0.1ms,0.1,fixed_count_mmpp,0.9133333333333333
noise_tau,ideal,2,tau0.1ms,0.1,adaptive_mmpp,0.9144444444444444
noise_tau,ideal,3,tau0.3ms,0.3,threshold,0.900625
noise_tau,ideal,3,tau0.3ms,0.3,adaptive_count,0.9004166666666666
noise_tau,ideal,3,tau0.3ms,0.3,fixed_count_mmpp,0.9113194444444445
noise_tau,ideal,3,tau0.3ms,0.3,adaptive_mmpp,0.9120833333333334
noise_tau,ideal,4,tau1ms,1.0,threshold,0.9005555555555556
noise_tau,ideal,4,tau1ms,1.0,adaptive_count,0.9004861111111111
noise_tau,ideal,4,tau1ms,1.0,fixed_count_mmpp,0.9154166666666667
noise_tau,ideal,4,tau1ms,1.0,adaptive_mmpp,0.9154166666666667
