
====================================================================================================
RATE-NOISE CORRELATION-TIME SWEEP (GAUSSIAN, SIGMA = 0.2): run-time reduction at matched balanced fidelity
  Noise much faster than the 120 us bright dwell averages out within a dwell; noise much slower is quasi-static and the calibrated cutoff absorbs it. The damage should peak in between.
  detector: ideal detector (no dead time, no afterpulsing)
  rate noise: ou rate noise, sigma = 0.2, tau_c = 0.01 ms, photon order 3.98287, mean-renormalised
  physics layer: builtin-reference
====================================================================================================
         point  ph/dwell     F*  t_thr(us) t_count(us)  t_fcm(us)  T_mmpp(us)  sp_mmpp         95% CI  sp_fcm  sp_count
--------------------------------------------------------------------------------------------------------------------
     tau0.01ms      10.4   0.55       1.17        4.21       4.21        1.14     1.03    [1.02,1.11]    0.28      0.28
                           0.56       1.42        4.21       4.21        1.36     1.04    [1.02,1.07]    0.34      0.34
                           0.57       1.70        4.21       4.21        1.62     1.05    [1.03,1.06]    0.40      0.40
                           0.58       1.97        4.21       4.21        1.87     1.05    [1.04,1.07]    0.47      0.47
                           0.59       2.26        4.21       4.21        2.12     1.06    [1.04,1.08]    0.54      0.54
                           0.60       2.58        4.21       4.21        2.41     1.07    [1.06,1.09]    0.61      0.61
                           0.61       2.90        4.21       4.21        2.73     1.06    [1.05,1.08]    0.69      0.69
                           0.62       3.23        4.21       4.21        2.99     1.08    [1.07,1.10]    0.77      0.77
                           0.63       3.55        4.21       4.21        3.28     1.08    [1.07,1.10]    0.84      0.84
                           0.64       3.89        4.21       4.21        3.59     1.09    [1.07,1.10]    0.93      0.93
                           0.65       4.27        4.21       4.21        4.21     1.02    [1.00,1.09]    1.02      1.02
                           0.66       4.64        4.63       4.63        4.22     1.10    [1.05,1.11]    1.00      1.00
                           0.67       5.04        4.89       4.89        4.72     1.07    [1.05,1.11]    1.03      1.03
                           0.68       5.46        5.16       5.16        4.91     1.11    [1.09,1.12]    1.06      1.06
                           0.69       5.90        5.45       5.45        5.22     1.13    [1.12,1.14]    1.08      1.08
                           0.70       6.38        5.75       5.75        5.56     1.15    [1.13,1.16]    1.11      1.11
                           0.71       6.86        6.08       6.08        5.92     1.16    [1.14,1.17]    1.13      1.13
                           0.72       7.34        6.41       6.41        6.31     1.16    [1.15,1.17]    1.14      1.14
                           0.73       7.81        6.77       6.77        6.72     1.16    [1.16,1.17]    1.15      1.15
                           0.74       8.35        7.15       7.15        7.14     1.17    [1.10,1.18]    1.17      1.17
                           0.75       8.93        7.55       7.55        7.87     1.14    [1.10,1.18]    1.18      1.18
                           0.76       9.54        9.45       9.45        9.37     1.02    [1.01,1.20]    1.01      1.01
                           0.77      10.20        9.84       9.85        9.48     1.08    [1.04,1.11]    1.04      1.04
                           0.78      10.92       10.26      10.27        9.59     1.14    [1.10,1.17]    1.06      1.06
                           0.79      11.70       10.69      10.71        9.71     1.21    [1.17,1.23]    1.09      1.09
                           0.80      12.53       11.15      11.17       10.08     1.24    [1.23,1.25]    1.12      1.12
                           0.81      13.43       11.62      11.65       10.69     1.26    [1.25,1.26]    1.15      1.16
                           0.82      14.33       12.11      12.14       11.36     1.26    [1.15,1.27]    1.18      1.18
                           0.83      15.32       12.62      12.66       12.52     1.22    [1.19,1.26]    1.21      1.21
                           0.84      16.50       13.15      13.20       12.66     1.30    [1.26,1.31]    1.25      1.25
                           0.85      17.81       13.71      13.77       13.52     1.32    [1.31,1.33]    1.29      1.30
                           0.86      19.41       19.18      19.29       15.15     1.28    [1.17,1.34]    1.01      1.01
                           0.87      21.52       20.28      20.38       16.43     1.31    [1.24,1.35]    1.06      1.06
                           0.88      23.97       21.45      21.52       17.80     1.35    [1.22,1.41]    1.11      1.12
                           0.89      26.56       22.69      22.73       22.09     1.20    [1.16,1.34]    1.17      1.17
