experiment,detector,physics_layer,point_index,point,sweep_value,method,max_balanced_fidelity
power,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,0,P0.875,0.875,threshold,0.984375
power,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,0,P0.875,0.875,adaptive_count,0.9840972222222222
power,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,0,P0.875,0.875,fixed_count_mmpp,0.9877083333333333
power,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,0,P0.875,0.875,adaptive_mmpp,0.987638888888889
power,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,1,P2.000,2.0,threshold,0.9698611111111111
power,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,1,P2.000,2.0,adaptive_count,0.9671527777777778
power,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,1,P2.000,2.0,fixed_count_mmpp,0.975625
power,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,1,P2.000,2.0,adaptive_mmpp,0.9764583333333333
power,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,2,P4.000,4.0,threshold,0.9520138888888889
power,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,2,P4.000,4.0,adaptive_count,0.9508333333333333
power,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,2,P4.000,4.0,fixed_count_mmpp,0.958125
power,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,2,P4.000,4.0,adaptive_mmpp,0.9585416666666666
power,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,3,P8.000,8.0,threshold,0.9254861111111111
power,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,3,P8.000,8.0,adaptive_count,0.9113888888888889
power,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,3,P8.000,8.0,fixed_count_mmpp,0.9283333333333332
power,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,3,P8.000,8.0,adaptive_mmpp,0.9308333333333334
power,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,4,P15.000,15.0,threshold,0.8770833333333333
power,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,4,P15.000,15.0,adaptive_count,0.8751388888888889
power,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,4,P15.000,15.0,fixed_count_mmpp,0.8909722222222223
power,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,4,P15.000,15.0,adaptive_mmpp,0.8906944444444445
