experiment,detector,point_index,point,sweep_value,method,max_balanced_fidelity
power,ideal,0,P0.875,0.875,threshold,0.9785416666666666
power,ideal,0,P0.875,0.875,adaptive_count,0.9772222222222222
power,ideal,0,P0.875,0.875,fixed_count_mmpp,0.9825694444444444
power,ideal,0,P0.875,0.875,adaptive_mmpp,0.9825
power,ideal,1,P2.000,2.0,threshold,0.9582638888888889
power,ideal,1,P2.000,2.0,adaptive_count,0.9552083333333333
power,ideal,1,P2.000,2.0,fixed_count_mmpp,0.9585416666666666
power,ideal,1,P2.000,2.0,adaptive_mmpp,0.9613888888888888
power,ideal,2,P4.000,4.0,threshold,0.9217361111111111
power,ideal,2,P4.000,4.0,adaptive_count,0.9180555555555556
power,ideal,2,P4.000,4.0,fixed_count_mmpp,0.9315277777777777
power,ideal,2,P4.000,4.0,adaptive_mmpp,0.93375
power,ideal,3,P8.000,8.0,threshold,0.8768750000000001
power,ideal,3,P8.000,8.0,adaptive_count,0.8747916666666666
power,ideal,3,P8.000,8.0,fixed_count_mmpp,0.88125
power,ideal,3,P8.000,8.0,adaptive_mmpp,0.8810416666666667
power,ideal,4,P15.000,15.0,threshold,0.8097222222222222
power,ideal,4,P15.000,15.0,adaptive_count,0.8074305555555555
power,ideal,4,P15.000,15.0,fixed_count_mmpp,0.810486111111111
power,ideal,4,P15.000,15.0,adaptive_mmpp,0.8117361111111111
