experiment,detector,physics_layer,efficiency_model,point_index,point,sweep_value,power_uw,detection_efficiency,photons_per_bright_dwell,contrast,switching_ratio,snr_per_bright_dwell,p_bright_stationary,gamma_tot_khz,horizon_us,noise_sigma,noise_tau_c_ms,noise_kind,noise_photon_order,noise_renormalise,q_excess_finest_bin,target_fidelity,t_threshold_us,t_adaptive_count_us,t_fixed_count_mmpp_us,t_adaptive_mmpp_us,speedup_mmpp,speedup_mmpp_ci_low,speedup_mmpp_ci_high,speedup_count,speedup_count_ci_low,speedup_count_ci_high,speedup_fixed_count_mmpp,speedup_fixed_count_mmpp_ci_low,speedup_fixed_count_mmpp_ci_high
ratio,det_nonpar_dt2000ns_ap0.05_tau5000ns,nv_charge_readout_master_v1_4,thin_all_counts,0,ratio0.5,0.5,5.437,1.0,72.62271511602958,0.9249776330930897,0.5,9.9340572406218,0.6666666666666666,9.422120008455401,636.7993609310438,0.0,0.1,off,2.0,mean,-0.8034733914987697,0.55,0.48947689921803217,1.588006749634214,1.588006749634214,0.45200248880583666,1.0829075311315224,1.0516544623039856,1.1130400111851093,0.3082335130696262,0.2875158556875539,0.3305089846226917,0.3082335130696262,0.2875158556875539,0.3305089846226917
ratio,det_nonpar_dt2000ns_ap0.05_tau5000ns,nv_charge_readout_master_v1_4,thin_all_counts,0,ratio0.5,0.5,5.437,1.0,72.62271511602958,0.9249776330930897,0.5,9.9340572406218,0.6666666666666666,9.422120008455401,636.7993609310438,0.0,0.1,off,2.0,mean,-0.8034733914987697,0.56,0.5882114760018755,1.588006749634214,1.588006749634214,0.5599273271953047,1.0505139639250098,1.0324714564799349,1.0749772921013105,0.3704086749866559,0.34619243235492553,0.400997082905502,0.3704086749866559,0.34619243235492553,0.400997082905502
ratio,det_nonpar_dt2000ns_ap0.05_tau5000ns,nv_charge_readout_master_v1_4,thin_all_counts,0,ratio0.5,0.5,5.437,1.0,72.62271511602958,0.9249776330930897,0.5,9.9340572406218,0.6666666666666666,9.422120008455401,636.7993609310438,0.0,0.1,off,2.0,mean,-0.8034733914987697,0.57,0.7034917959884308,1.588006749634214,1.588006749634214,0.6569132914105488,1.0709051029822625,1.047012207152787,1.0909172797869955,0.4430030263728256,0.4134982602792523,0.4685247450304559,0.4430030263728256,0.4134982602792523,0.4685247450304559
ratio,det_nonpar_dt2000ns_ap0.05_tau5000ns,nv_charge_readout_master_v1_4,thin_all_counts,0,ratio0.5,0.5,5.437,1.0,72.62271511602958,0.9249776330930897,0.5,9.9340572406218,0.6666666666666666,9.422120008455401,636.7993609310438,0.0,0.1,off,2.0,mean,-0.8034733914987697,0.58,0.7931575479379515,1.588006749634214,1.588006749634214,0.7396556938009705,1.0723334581013546,1.055690910506167,1.0908960806058405,0.499467365690133,0.4784586600979938,0.525885474182563,0.499467365690133,0.4784586600979938,0.525885474182563
ratio,det_nonpar_dt2000ns_ap0.05_tau5000ns,nv_charge_readout_master_v1_4,thin_all_counts,0,ratio0.5,0.5,5.437,1.0,72.62271511602958,0.9249776330930897,0.5,9.9340572406218,0.6666666666666666,9.422120008455401,636.7993609310438,0.0,0.1,off,2.0,mean,-0.8034733914987697,0.59,0.8934572400507826,1.588006749634214,1.588006749634214,0.8328200274308072,1.0728095034013976,1.0575798726444368,1.0861978538159522,0.5626281124161369,0.5360000523018741,0.5932241616093112,0.5626281124161369,0.5360000523018741,0.5932241616093112
ratio,det_nonpar_dt2000ns_ap0.05_tau5000ns,nv_charge_readout_master_v1_4,thin_all_counts,0,ratio0.5,0.5,5.437,1.0,72.62271511602958,0.9249776330930897,0.5,9.9340572406218,0.6666666666666666,9.422120008455401,636.7993609310438,0.0,0.1,off,2.0,mean,-0.8034733914987697,0.6,0.9991674121092842,1.588006749634214,1.588006749634214,0.9362740799904585,1.0671740609538893,1.0570612235909165,1.0841146071127639,0.6291959479009993,0.6002526733331195,0.665185693888287,0.6291959479009993,0.6002526733331195,0.665185693888287
ratio,det_nonpar_dt2000ns_ap0.05_tau5000ns,nv_charge_readout_master_v1_4,thin_all_counts,0,ratio0.5,0.5,5.437,1.0,72.62271511602958,0.9249776330930897,0.5,9.9340572406218,0.6666666666666666,9.422120008455401,636.7993609310438,0.0,0.1,off,2.0,mean,-0.8034733914987697,0.61,1.1354486732183942,1.588006749634214,1.588006749634214,1.031052194443761,1.1012523704786388,1.0750218421774318,1.127089030028987,0.7150150170834831,0.6735932484961179,0.7580432645336531,0.7150150170834831,0.6735932484961179,0.7580432645336531
ratio,det_nonpar_dt2000ns_ap0.05_tau5000ns,nv_charge_readout_master_v1_4,thin_all_counts,0,ratio0.5,0.5,5.437,1.0,72.62271511602958,0.9249776330930897,0.5,9.9340572406218,0.6666666666666666,9.422120008455401,636.7993609310438,0.0,0.1,off,2.0,mean,-0.8034733914987697,0.62,1.2647268588298997,1.588006749634214,1.588006749634214,1.1354246052375272,1.1138800876746218,1.0961746770283634,1.1320426382368347,0.7964241078453983,0.7621367697069369,0.8375546577115939,0.7964241078453983,0.7621367697069369,0.8375546577115939
ratio,det_nonpar_dt2000ns_ap0.05_tau5000ns,nv_charge_readout_master_v1_4,thin_all_counts,0,ratio0.5,0.5,5.437,1.0,72.62271511602958,0.9249776330930897,0.5,9.9340572406218,0.6666666666666666,9.422120008455401,636.7993609310438,0.0,0.1,off,2.0,mean,-0.8034733914987697,0.63,1.389774312599352,1.588006749634214,1.588006749634214,1.2503625336584387,1.1114970859955375,1.0973434353494351,1.1277733051460408,0.8751690211137179,0.8362901957146622,0.9125865426213194,0.8751690211137179,0.8362901957146622,0.9125865426213194
ratio,det_nonpar_dt2000ns_ap0.05_tau5000ns,nv_charge_readout_master_v1_4,thin_all_counts,0,ratio0.5,0.5,5.437,1.0,72.62271511602958,0.9249776330930897,0.5,9.9340572406218,0.6666666666666666,9.422120008455401,636.7993609310438,0.0,0.1,off,2.0,mean,-0.8034733914987697,0.64,1.5213532656605129,1.588006749634214,1.588006749634214,1.376935516779373,1.104883451055813,1.0907387937815343,1.1194799371417452,0.9580269517185275,0.9150956612453625,0.9960756022474109,0.9580269517185275,0.9150956612453625,0.9960756022474109
