experiment,detector,physics_layer,point_index,point,sweep_value,method,max_balanced_fidelity
ratio,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,0,ratio0.5,0.5,threshold,0.9211111111111111
ratio,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,0,ratio0.5,0.5,adaptive_count,0.920625
ratio,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,0,ratio0.5,0.5,fixed_count_mmpp,0.930763888888889
ratio,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,0,ratio0.5,0.5,adaptive_mmpp,0.9333333333333333
ratio,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,1,ratio1.88,1.88,threshold,0.9326388888888888
ratio,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,1,ratio1.88,1.88,adaptive_count,0.9290972222222222
ratio,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,1,ratio1.88,1.88,fixed_count_mmpp,0.9331944444444444
ratio,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,1,ratio1.88,1.88,adaptive_mmpp,0.9371527777777777
ratio,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,2,ratio7.07,7.07,threshold,0.9397916666666667
ratio,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,2,ratio7.07,7.07,adaptive_count,0.9347916666666667
ratio,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,2,ratio7.07,7.07,fixed_count_mmpp,0.9455555555555555
ratio,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,2,ratio7.07,7.07,adaptive_mmpp,0.9458333333333333
ratio,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,3,ratio26.6,26.6,threshold,0.9463194444444445
ratio,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,3,ratio26.6,26.6,adaptive_count,0.9421527777777778
ratio,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,3,ratio26.6,26.6,fixed_count_mmpp,0.95375
ratio,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,3,ratio26.6,26.6,adaptive_mmpp,0.9547916666666667
ratio,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,4,ratio100,100.0,threshold,0.9466666666666667
ratio,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,4,ratio100,100.0,adaptive_count,0.9438888888888889
ratio,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,4,ratio100,100.0,fixed_count_mmpp,0.9550694444444445
ratio,det_nonpar_dt50ns_ap0.01_tau100ns,nv_charge_readout_master_v1_4,4,ratio100,100.0,adaptive_mmpp,0.9554861111111111
