
====================================================================================================
SWITCHING-RATE RATIO SWEEP AT FIXED GAMMA_TOT: run-time reduction at matched balanced fidelity
  Gamma_tot is held fixed, so blinks per window are constant and only the bright/dark asymmetry (p_bright = 1/(1+ratio)) varies.
  detector: non-paralyzable dead time 50 ns, afterpulse p = 0.01 with tau = 100 ns, filter rates corrected
  physics layer: builtin-reference
====================================================================================================
         point  ph/dwell     F*  t_thr(us) t_count(us)  T_mmpp(us)  sp_mmpp         95% CI  sp_count
----------------------------------------------------------------------------------------------------
      ratio0.5      27.5   0.55       1.26        4.22        1.20     1.05    [1.02,1.14]      0.30
                           0.56       1.54        4.22        1.46     1.06    [1.02,1.10]      0.37
                           0.57       1.83        4.22        1.76     1.04    [1.03,1.07]      0.44
                           0.58       2.12        4.22        2.00     1.06    [1.03,1.10]      0.50
                           0.59       2.45        4.22        2.28     1.08    [1.03,1.11]      0.58
                           0.60       2.74        4.22        2.59     1.06    [1.03,1.09]      0.65
                           0.61       3.05        4.22        2.87     1.06    [1.04,1.09]      0.72
                           0.62       3.35        4.22        3.12     1.07    [1.05,1.10]      0.80
                           0.63       3.65        4.22        3.39     1.08    [1.05,1.10]      0.87
                           0.64       3.99        4.22        3.69     1.08    [1.06,1.10]      0.95
                           0.65       4.35        4.22        4.22     1.03    [1.08,1.10]      1.03
                           0.66       4.71        4.68        4.31     1.09    [1.09,1.12]      1.01
                           0.67       5.08        4.93        4.73     1.08    [1.10,1.14]      1.03
                           0.68       5.41        5.18        4.87     1.11    [1.10,1.14]      1.04
                           0.69       5.74        5.46        5.14     1.12    [1.10,1.15]      1.05
                           0.70       6.20        5.74        5.47     1.13    [1.11,1.17]      1.08
                           0.71       6.69        6.04        5.82     1.15    [1.11,1.18]      1.11
                           0.72       7.20        6.36        6.20     1.16    [1.13,1.19]      1.13
                           0.73       7.70        6.69        6.59     1.17    [1.15,1.19]      1.15
                           0.74       8.26        7.04        7.01     1.18    [1.16,1.20]      1.17
                           0.75       8.87        7.41        7.43     1.19    [1.18,1.21]      1.20
                           0.76       9.38        7.80        7.82     1.20    [1.19,1.22]      1.20
                           0.77       9.93        9.74        9.38     1.06    [1.19,1.23]      1.02
                           0.78      10.60       10.18        9.42     1.13    [1.20,1.25]      1.04
                           0.79      11.36       10.63        9.45     1.20    [1.21,1.26]      1.07
                           0.80      12.22       11.10        9.71     1.26    [1.23,1.28]      1.10
                           0.81      13.12       11.59       10.25     1.28    [1.18,1.30]      1.13
                           0.82      14.14       12.11       11.82     1.20    [1.18,1.30]      1.17
                           0.83      15.32       12.64       11.98     1.28    [1.20,1.35]      1.21
                           0.84      16.92       13.20       12.56     1.35    [1.27,1.39]      1.28
                           0.85      18.74       13.79       13.79     1.36    [1.34,1.42]      1.36
                           0.86      21.59       21.20       15.30     1.41    [1.32,1.45]      1.02
                           0.87      26.67         nan       19.85     1.34    [1.23,1.49]         -
----------------------------------------------------------------------------------------------------
     ratio1.88      14.1   0.55       1.21        4.20        1.17     1.03    [1.02,1.13]      0.29
                           0.56       1.51        4.20        1.40     1.08    [1.02,1.13]      0.36
                           0.57       1.77        4.20        1.68     1.05    [1.02,1.09]      0.42
                           0.58       1.96        4.20        1.91     1.03    [1.00,1.07]      0.47
                           0.59       2.28        4.20        2.15     1.06    [1.00,1.11]      0.54
                           0.60       2.59        4.20        2.41     1.07    [1.03,1.10]      0.62
                           0.61       2.90        4.20        2.72     1.07    [1.05,1.10]      0.69
                           0.62       3.15        4.20        2.96     1.07    [1.04,1.09]      0.75
