experiment,detector,point_index,point,sweep_value,method,max_balanced_fidelity
ratio,ideal,0,ratio0.5,0.5,threshold,0.9220138888888889
ratio,ideal,0,ratio0.5,0.5,adaptive_count,0.921875
ratio,ideal,0,ratio0.5,0.5,fixed_count_mmpp,0.9311111111111111
ratio,ideal,0,ratio0.5,0.5,adaptive_mmpp,0.9318055555555556
ratio,ideal,1,ratio1.88,1.88,threshold,0.9316666666666666
ratio,ideal,1,ratio1.88,1.88,adaptive_count,0.930763888888889
ratio,ideal,1,ratio1.88,1.88,fixed_count_mmpp,0.9388888888888889
ratio,ideal,1,ratio1.88,1.88,adaptive_mmpp,0.9390972222222222
ratio,ideal,2,ratio7.07,7.07,threshold,0.939513888888889
ratio,ideal,2,ratio7.07,7.07,adaptive_count,0.9356249999999999
ratio,ideal,2,ratio7.07,7.07,fixed_count_mmpp,0.9452083333333334
ratio,ideal,2,ratio7.07,7.07,adaptive_mmpp,0.9454861111111111
ratio,ideal,3,ratio26.6,26.6,threshold,0.9428472222222222
ratio,ideal,3,ratio26.6,26.6,adaptive_count,0.9370833333333333
ratio,ideal,3,ratio26.6,26.6,fixed_count_mmpp,0.9484027777777778
ratio,ideal,3,ratio26.6,26.6,adaptive_mmpp,0.9482638888888888
ratio,ideal,4,ratio100,100.0,threshold,0.9447916666666667
ratio,ideal,4,ratio100,100.0,adaptive_count,0.9419444444444445
ratio,ideal,4,ratio100,100.0,fixed_count_mmpp,0.951875
ratio,ideal,4,ratio100,100.0,adaptive_mmpp,0.9534722222222223
