experiment,detector,point_index,point,sweep_value,power_uw,detection_efficiency,photons_per_bright_dwell,contrast,switching_ratio,snr_per_bright_dwell,p_bright_stationary,gamma_tot_khz,horizon_us,noise_sigma,noise_tau_c_ms,noise_kind,noise_photon_order,noise_renormalise,q_excess_finest_bin,target_fidelity,t_threshold_us,t_adaptive_count_us,t_fixed_count_mmpp_us,t_adaptive_mmpp_us,speedup_mmpp,speedup_mmpp_ci_low,speedup_mmpp_ci_high,speedup_count,speedup_count_ci_low,speedup_count_ci_high,speedup_fixed_count_mmpp,speedup_fixed_count_mmpp_ci_low,speedup_fixed_count_mmpp_ci_high
ratio,ideal,0,ratio0.5,0.5,5.437,1.0,72.62271511602958,0.9249776330930897,0.5,9.9340572406218,0.6666666666666666,9.422120008455401,636.7993609310438,0.0,0.1,off,2.0,mean,0.035936417596822645,0.55,0.456603239341696,1.5865859130877982,1.5865859130877982,0.4422580542644719,1.0324362325092797,1.0228975129751694,1.0677810407704489,0.28778979793981607,0.2764487544792991,0.3117783122711081,0.28778979793981607,0.2764487544792991,0.3117783122711081
ratio,ideal,0,ratio0.5,0.5,5.437,1.0,72.62271511602958,0.9249776330930897,0.5,9.9340572406218,0.6666666666666666,9.422120008455401,636.7993609310438,0.0,0.1,off,2.0,mean,0.035936417596822645,0.56,0.5555960511943254,1.5865859130877982,1.5865859130877982,0.5293237756387092,1.0496336585748764,1.0300670413905393,1.0735491488959816,0.35018340110749485,0.33138947917317163,0.3756514123000978,0.35018340110749485,0.33138947917317163,0.3756514123000978
ratio,ideal,0,ratio0.5,0.5,5.437,1.0,72.62271511602958,0.9249776330930897,0.5,9.9340572406218,0.6666666666666666,9.422120008455401,636.7993609310438,0.0,0.1,off,2.0,mean,0.035936417596822645,0.57,0.6640723212104385,1.5865859130877982,1.5865859130877982,0.633529806308213,1.0482100677791417,1.0335623934831104,1.0661615888633216,0.41855427791995664,0.39393169800983396,0.44636511892816827,0.41855427791995664,0.39393169800983396,0.44636511892816827
ratio,ideal,0,ratio0.5,0.5,5.437,1.0,72.62271511602958,0.9249776330930897,0.5,9.9340572406218,0.6666666666666666,9.422120008455401,636.7993609310438,0.0,0.1,off,2.0,mean,0.035936417596822645,0.58,0.7724800158634428,1.5865859130877982,1.5865859130877982,0.7273754656775907,1.062009996644353,1.0438530278431863,1.0821383333231014,0.4868819327659665,0.4579415362399433,0.5195410041428059,0.4868819327659665,0.4579415362399433,0.5195410041428059
ratio,ideal,0,ratio0.5,0.5,5.437,1.0,72.62271511602958,0.9249776330930897,0.5,9.9340572406218,0.6666666666666666,9.422120008455401,636.7993609310438,0.0,0.1,off,2.0,mean,0.035936417596822645,0.59,0.8913969539528175,1.5865859130877982,1.5865859130877982,0.8260363842635493,1.079125533613801,1.0571263410566571,1.0996373700296942,0.5618333974855414,0.5261673173971513,0.5946683921266595,0.5618333974855414,0.5261673173971513,0.5946683921266595
ratio,ideal,0,ratio0.5,0.5,5.437,1.0,72.62271511602958,0.9249776330930897,0.5,9.9340572406218,0.6666666666666666,9.422120008455401,636.7993609310438,0.0,0.1,off,2.0,mean,0.035936417596822645,0.6,1.011270571489318,1.5865859130877982,1.5865859130877982,0.9380796305681881,1.0780220980566422,1.0604042752973708,1.092456185902235,0.6373878421252291,0.60642306457141,0.6750660743262795,0.6373878421252291,0.60642306457141,0.6750660743262795
ratio,ideal,0,ratio0.5,0.5,5.437,1.0,72.62271511602958,0.9249776330930897,0.5,9.9340572406218,0.6666666666666666,9.422120008455401,636.7993609310438,0.0,0.1,off,2.0,mean,0.035936417596822645,0.61,1.1355328844282857,1.5865859130877982,1.5865859130877982,1.0600493646343376,1.071207551565286,1.0621345264945448,1.0871122257589494,0.7157084120445281,0.6799610154119079,0.7590416292609855,0.7157084120445281,0.6799610154119079,0.7590416292609855
ratio,ideal,0,ratio0.5,0.5,5.437,1.0,72.62271511602958,0.9249776330930897,0.5,9.9340572406218,0.6666666666666666,9.422120008455401,636.7993609310438,0.0,0.1,off,2.0,mean,0.035936417596822645,0.62,1.2694503067702778,1.5865859130877982,1.5865859130877982,1.161600467844459,1.0928458983198863,1.0780566424942766,1.111411462374965,0.8001144446692369,0.7631303257955077,0.8457924178641004,0.8001144446692369,0.7631303257955077,0.8457924178641004
ratio,ideal,0,ratio0.5,0.5,5.437,1.0,72.62271511602958,0.9249776330930897,0.5,9.9340572406218,0.6666666666666666,9.422120008455401,636.7993609310438,0.0,0.1,off,2.0,mean,0.035936417596822645,0.63,1.3969546623371367,1.5865859130877982,1.5865859130877982,1.2728800109812903,1.0974755281608943,1.0837365443063744,1.1102917592130128,0.8804784227652678,0.8478777999806386,0.9191835810261171,0.8804784227652678,0.8478777999806386,0.9191835810261171
ratio,ideal,0,ratio0.5,0.5,5.437,1.0,72.62271511602958,0.9249776330930897,0.5,9.9340572406218,0.6666666666666666,9.422120008455401,636.7993609310438,0.0,0.1,off,2.0,mean,0.035936417596822645,0.64,1.5225142235769844,1.5865859130877982,1.5865859130877982,1.3948199636681635,1.0915489190253662,1.0078675288101107,1.103094959077964,0.9596166277651375,0.9220045894526988,1.0107642213546133,0.9596166277651375,0.9220045894526988,1.0107642213546133
ratio,ideal,0,ratio0.5,0.5,5.437,1.0,72.62271511602958,0.9249776330930897,0.5,9.9340572406218,0.6666666666666666,9.422120008455401,636.7993609310438,0.0,0.1,off,2.0,mean,0.035936417596822645,0.65,1.6786732113317144,1.5865859130877982,1.5865859130877982,1.5865859130877982,1.0580411671906862,1.011989187469096,1.1017111564557496,1.0580411671906862,1.003173385442186,1.0970594390413608,1.0580411671906862,1.003173385442186,1.0970594390413608
