
====================================================================================================
SWITCHING-RATE RATIO SWEEP AT FIXED GAMMA_TOT: run-time reduction at matched balanced fidelity
  Gamma_tot is held fixed, so blinks per window are constant and only the bright/dark asymmetry (p_bright = 1/(1+ratio)) varies.
  detector: ideal detector (no dead time, no afterpulsing)
  physics layer: builtin-reference
====================================================================================================
         point  ph/dwell     F*  t_thr(us) t_count(us)  T_mmpp(us)  sp_mmpp         95% CI  sp_count
----------------------------------------------------------------------------------------------------
      ratio0.5      27.5   0.55       1.22        4.21        1.17     1.04    [1.01,1.14]      0.29
                           0.56       1.49        4.21        1.37     1.09    [1.03,1.13]      0.35
                           0.57       1.71        4.21        1.61     1.07    [1.04,1.11]      0.41
                           0.58       2.02        4.21        1.85     1.09    [1.05,1.13]      0.48
                           0.59       2.32        4.21        2.10     1.10    [1.06,1.15]      0.55
                           0.60       2.61        4.21        2.38     1.09    [1.06,1.14]      0.62
                           0.61       2.90        4.21        2.71     1.07    [1.05,1.12]      0.69
                           0.62       3.24        4.21        2.99     1.08    [1.06,1.12]      0.77
                           0.63       3.60        4.21        3.28     1.10    [1.06,1.13]      0.86
                           0.64       3.95        4.21        3.60     1.10    [1.08,1.12]      0.94
                           0.65       4.29        4.21        4.21     1.02    [1.09,1.10]      1.02
                           0.66       4.62        4.21        4.21     1.10    [1.09,1.11]      1.10
                           0.67       4.90        4.86        4.68     1.05    [1.09,1.12]      1.01
                           0.68       5.21        5.12        4.82     1.08    [1.09,1.12]      1.02
                           0.69       5.65        5.38        5.05     1.12    [1.10,1.14]      1.05
                           0.70       6.10        5.67        5.38     1.13    [1.11,1.16]      1.08
                           0.71       6.55        5.96        5.73     1.14    [1.12,1.17]      1.10
                           0.72       6.99        6.27        6.10     1.15    [1.12,1.17]      1.11
                           0.73       7.50        6.60        6.50     1.15    [1.13,1.17]      1.14
                           0.74       8.04        6.95        6.89     1.17    [1.15,1.18]      1.16
                           0.75       8.52        7.31        7.25     1.18    [1.16,1.19]      1.17
                           0.76       9.05        7.69        7.68     1.18    [1.16,1.20]      1.18
                           0.77       9.65        9.63        9.38     1.03    [1.17,1.21]      1.00
                           0.78      10.26       10.05        9.42     1.09    [1.18,1.22]      1.02
                           0.79      10.90       10.50        9.46     1.15    [1.18,1.24]      1.04
                           0.80      11.82       10.96        9.56     1.24    [1.20,1.27]      1.08
                           0.81      12.72       11.44       10.04     1.27    [1.21,1.29]      1.11
                           0.82      13.63       11.95       11.06     1.23    [1.18,1.30]      1.14
                           0.83      14.63       12.48       11.89     1.23    [1.19,1.31]      1.17
                           0.84      16.17       13.03       12.19     1.33    [1.22,1.36]      1.24
                           0.85      18.11       13.61       13.58     1.33    [1.31,1.42]      1.33
                           0.86      21.40       20.55       15.33     1.40    [1.30,1.47]      1.04
                           0.87      25.33         nan       20.01     1.27    [1.22,1.48]         -
----------------------------------------------------------------------------------------------------
     ratio1.88      14.1   0.55       1.25        4.23        1.20     1.04    [1.02,1.14]      0.29
                           0.56       1.55        4.23        1.46     1.06    [1.02,1.11]      0.37
                           0.57       1.84        4.23        1.76     1.05    [1.03,1.10]      0.44
                           0.58       2.14        4.23        1.98     1.08    [1.05,1.15]      0.51
                           0.59       2.51        4.23        2.23     1.12    [1.05,1.16]      0.59
                           0.60       2.74        4.23        2.52     1.09    [1.06,1.13]      0.65
                           0.61       3.04        4.23        2.83     1.08    [1.06,1.11]      0.72
                           0.62       3.43        4.23        3.13     1.10    [1.07,1.13]      0.81
                           0.63       3.83        4.23        3.46     1.11    [1.08,1.14]      0.91
                           0.64       4.16        4.23        3.83     1.09    [1.08,1.12]      0.98
                           0.65       4.47        4.23        4.23     1.06    [1.09,1.10]      1.06
                           0.66       4.78        4.74        4.36     1.10    [1.08,1.11]      1.01
                           0.67       5.09        5.00        4.77     1.07    [1.08,1.12]      1.02
                           0.68       5.47        5.27        4.92     1.11    [1.09,1.14]      1.04
                           0.69       5.93        5.55        5.23     1.13    [1.11,1.16]      1.07
                           0.70       6.43        5.85        5.58     1.15    [1.12,1.18]      1.10
                           0.71       6.86        6.16        5.94     1.16    [1.13,1.18]      1.11
                           0.72       7.32        6.49        6.32     1.16    [1.14,1.18]      1.13
                           0.73       7.81        6.84        6.74     1.16    [1.15,1.17]      1.14
                           0.74       8.31        7.20        7.16     1.16    [1.15,1.17]      1.15
                           0.75       8.85        7.59        7.58     1.17    [1.15,1.19]      1.17
                           0.76       9.53        9.50        9.38     1.02    [1.17,1.22]      1.00
                           0.77      10.22        9.90        9.46     1.08    [1.18,1.23]      1.03
                           0.78      10.94       10.32        9.53     1.15    [1.19,1.24]      1.06
                           0.79      11.70       10.76        9.61     1.22    [1.20,1.25]      1.09
                           0.80      12.49       11.22       10.00     1.25    [1.23,1.27]      1.11
                           0.81      13.29       11.70       10.50     1.27    [1.22,1.28]      1.14
                           0.82      14.34       12.20       11.98     1.20    [1.22,1.29]      1.18
                           0.83      15.56       12.72       12.23     1.27    [1.24,1.32]      1.22
                           0.84      16.91       13.26       12.87     1.31    [1.27,1.36]      1.28
                           0.85      18.62       13.83       13.79     1.35    [1.22,1.38]      1.35
                           0.86      20.60       20.20       16.10     1.28    [1.22,1.42]      1.02
                           0.87      24.13       21.93       17.76     1.36    [1.29,1.56]      1.10
----------------------------------------------------------------------------------------------------
     ratio7.07      10.5   0.55       1.32        4.23        1.26     1.04    [1.00,1.08]      0.31
                           0.56       1.58        4.23        1.51     1.04    [1.00,1.08]      0.37
                           0.57       1.84        4.23        1.78     1.03    [1.01,1.06]      0.43
                           0.58       2.07        4.23        2.00     1.03    [0.99,1.08]      0.49
                           0.59       2.36        4.23        2.26     1.05    [1.01,1.09]      0.56
                           0.60       2.68        4.23        2.54     1.05    [1.02,1.08]      0.63
                           0.61       3.04        4.23        2.83     1.07    [1.05,1.09]      0.72
                           0.62       3.31        4.23        3.09     1.07    [1.05,1.10]      0.78
                           0.63       3.62        4.23        3.38     1.07    [1.04,1.10]      0.86
                           0.64       3.99        4.23        3.69     1.08    [1.06,1.09]      0.94
                           0.65       4.36        4.23        4.23     1.03    [1.08,1.10]      1.03
                           0.66       4.72        4.70        4.31     1.10    [1.09,1.11]      1.01
                           0.67       5.08        4.96        4.77     1.07    [1.08,1.13]      1.02
                           0.68       5.62        5.23        4.97     1.13    [1.09,1.16]      1.07
                           0.69       6.14        5.53        5.31     1.16    [1.13,1.18]      1.11
                           0.70       6.61        5.83        5.66     1.17    [1.14,1.19]      1.13
                           0.71       7.03        6.16        6.04     1.16    [1.14,1.19]      1.14
                           0.72       7.49        6.50        6.45     1.16    [1.14,1.19]      1.15
                           0.73       7.97        6.86        6.88     1.16    [1.15,1.18]      1.16
                           0.74       8.39        7.24        7.22     1.16    [1.15,1.17]      1.16
                           0.75       8.83        7.64        7.91     1.12    [1.15,1.19]      1.16
                           0.76       9.57        9.49        9.39     1.02    [1.16,1.21]      1.01
                           0.77      10.16        9.88        9.50     1.07    [1.18,1.21]      1.03
                           0.78      10.67       10.29        9.60     1.11    [1.18,1.21]      1.04
                           0.79      11.34       10.71        9.71     1.17    [1.18,1.23]      1.06
                           0.80      12.19       11.16        9.93     1.23    [1.20,1.24]      1.09
                           0.81      13.05       11.62       10.48     1.24    [1.23,1.26]      1.12
                           0.82      13.89       12.10       11.03     1.26    [1.24,1.27]      1.15
                           0.83      14.70       12.60       12.31     1.19    [1.25,1.29]      1.17
                           0.84      15.86       13.12       12.56     1.26    [1.26,1.32]      1.21
                           0.85      17.43       13.66       13.32     1.31    [1.28,1.33]      1.28
                           0.86      19.07       19.06       14.56     1.31    [1.28,1.35]      1.00
                           0.87      20.42       20.50       16.36     1.25    [1.29,1.38]      1.00
                           0.88      22.88       22.06       16.77     1.36    [1.31,1.43]      1.04
                           0.89      25.51       23.73       21.09     1.21    [1.34,1.57]      1.07
----------------------------------------------------------------------------------------------------
     ratio26.6       9.5   0.55       1.47        4.21        1.35     1.09    [1.03,1.12]      0.35
                           0.56       1.66        4.21        1.58     1.05    [1.02,1.09]      0.40
                           0.57       1.88        4.21        1.81     1.04    [1.02,1.08]      0.45
                           0.58       2.14        4.21        2.01     1.07    [1.03,1.11]      0.51
                           0.59       2.36        4.21        2.22     1.06    [1.03,1.10]      0.56
                           0.60       2.59        4.21        2.46     1.05    [1.03,1.09]      0.62
                           0.61       2.85        4.21        2.73     1.05    [1.03,1.07]      0.68
                           0.62       3.14        4.21        2.95     1.06    [1.04,1.10]      0.75
                           0.63       3.45        4.21        3.19     1.08    [1.05,1.11]      0.82
                           0.64       3.73        4.21        3.45     1.08    [1.06,1.11]      0.89
                           0.65       4.05        4.21        3.72     1.09    [1.07,1.10]      0.96
                           0.66       4.38        4.21        4.21     1.04    [1.09,1.10]      1.04
                           0.67       4.75        4.70        4.31     1.10    [1.09,1.12]      1.01
                           0.68       5.18        4.95        4.76     1.09    [1.10,1.13]      1.05
                           0.69       5.57        5.21        4.94     1.13    [1.11,1.14]      1.07
                           0.70       5.95        5.49        5.26     1.13    [1.11,1.15]      1.08
                           0.71       6.33        5.78        5.61     1.13    [1.10,1.16]      1.10
                           0.72       6.79        6.09        5.98     1.13    [1.11,1.16]      1.11
                           0.73       7.31        6.41        6.37     1.15    [1.12,1.17]      1.14
                           0.74       7.95        6.75        6.79     1.17    [1.14,1.18]      1.18
                           0.75       8.36        7.11        7.14     1.17    [1.16,1.18]      1.18
