experiment,detector,point_index,point,sweep_value,method,max_balanced_fidelity
snr,ideal,0,snr0.5,0.5,threshold,0.5741666666666667
snr,ideal,0,snr0.5,0.5,adaptive_count,0.5733333333333333
snr,ideal,0,snr0.5,0.5,fixed_count_mmpp,0.5819444444444445
snr,ideal,0,snr0.5,0.5,adaptive_mmpp,0.585
snr,ideal,1,snr1,1.0,threshold,0.6133333333333333
snr,ideal,1,snr1,1.0,adaptive_count,0.6097222222222223
snr,ideal,1,snr1,1.0,fixed_count_mmpp,0.6177777777777778
snr,ideal,1,snr1,1.0,adaptive_mmpp,0.6211111111111112
snr,ideal,2,snr2,2.0,threshold,0.7097222222222221
snr,ideal,2,snr2,2.0,adaptive_count,0.7002777777777778
snr,ideal,2,snr2,2.0,fixed_count_mmpp,0.7227777777777777
snr,ideal,2,snr2,2.0,adaptive_mmpp,0.7222222222222222
snr,ideal,3,snr4,4.0,threshold,0.8077777777777777
snr,ideal,3,snr4,4.0,adaptive_count,0.8094444444444444
snr,ideal,3,snr4,4.0,fixed_count_mmpp,0.8219444444444445
snr,ideal,3,snr4,4.0,adaptive_mmpp,0.8219444444444444
snr,ideal,4,snr8,8.0,threshold,0.8925
snr,ideal,4,snr8,8.0,adaptive_count,0.8869444444444445
snr,ideal,4,snr8,8.0,fixed_count_mmpp,0.9016666666666666
snr,ideal,4,snr8,8.0,adaptive_mmpp,0.9061111111111111
